識別番号,分野,頻出度,言葉,読み,文章,漢字1,読み1,漢字2,読み2
0,音読み,a,騒擾,そうじょう,過激派が騒擾を起こした。,騒擾,そうじょう,X,X
1,音読み,a,貼付,ちょうふ,切手を貼付する。,貼付,ちょうふ,X,X
2,音読み,a,怨念,おんねん,積年の怨念を晴らす。,怨念,おんねん,X,X
3,音読み,a,慧眼,けいがん,時代を見抜く慧眼で危機を乗り切る。,慧眼,けいがん,X,X
4,音読み,a,紐帯,ちゅうたい,同盟の紐帯となる条約を結ぶ。,紐帯,ちゅうたい,X,X
5,音読み,a,頸椎,けいつい,サッカーで頸椎を損傷する。,頸椎,けいつい,X,X
6,音読み,a,抹消,まっしょう,抹消にとらわれて本質を忘れる。,抹消,まっしょう,X,X
7,音読み,a,碩学,せきがく,宇宙工学の碩学として有名だ。,碩学,せきがく,X,X
8,音読み,a,払拭,ふっしょく,政治家の疑惑が払拭できない。,払拭,ふっしょく,X,X
9,音読み,a,馴化,じゅんか,植物が土地に馴化していく。,馴化,じゅんか,X,X
10,音読み,a,造詣,ぞうけい,文化人類学に造詣が深い。,造詣,ぞうけい,X,X
11,音読み,a,厨子,ずし,堂内の厨子に秘仏を安置する。,厨子,ずし,X,X
12,音読み,a,捺印,なついん,互いに署名捺印する。,捺印,なついん,X,X
13,音読み,a,挽歌,ばんか,死を悼み挽歌を送る。,挽歌,ばんか,X,X
14,音読み,a,頓挫,とんざ,資金不足で計画は頓挫した。,頓挫,とんざ,X,X
15,音読み,a,蒐集,しゅうしゅう,珍しい世界の切手を蒐集する。,蒐集,しゅうしゅう,X,X
16,音読み,a,輔弼,ほひつ,天皇の輔弼として政治を助ける。,輔弼,ほひつ,X,X
17,音読み,a,瞳孔,どうこう,ショックで瞳孔が開いた。,瞳孔,どうこう,X,X
18,音読み,a,瑠璃,るり,瑠璃色に光る宝石に魅せられる。,瑠璃,るり,X,X
19,音読み,a,嫉妬,しっと,嫉妬は愛情の裏返しだ。,嫉妬,しっと,X,X
20,音読み,a,尖兵,せんぺい,戦争では尖兵として戦った。,尖兵,せんぺい,X,X
21,音読み,a,凋落,ちょうらく,彼の凋落ぶりは目を覆うばかりだ。,凋落,ちょうらく,X,X
22,音読み,a,老爺,ろうや,老爺が道具の手入れをしている。,老爺,ろうや,X,X
23,音読み,a,耽溺,たんでき,酒や賭け事に耽溺する。,耽溺,たんでき,X,X
24,音読み,a,三昧,ざんまい,贅沢三昧の生活を送る。,三昧,ざんまい,X,X
25,音読み,a,悉皆,しっかい,一心に悉皆成仏を唱える。,悉皆,しっかい,X,X
26,音読み,a,凌駕,りょうが,力が技を凌駕した。,凌駕,りょうが,X,X
27,音読み,a,馴致,じゅんち,仔馬を馴致して競走馬に育てる。,馴致,じゅんち,X,X
28,音読み,a,凄絶,せいぜつ,凄絶な試合に目を奪われる。,凄絶,せいぜつ,X,X
29,音読み,a,呪術,じゅじゅつ,呪術に詳しい人に会った。,呪術,じゅじゅつ,X,X
30,音読み,a,悶絶,もんぜつ,あまりの苦しみに悶絶した。,悶絶,もんぜつ,X,X
31,音読み,a,好好爺,こうこうや,山奥の一軒家で好好爺に出会う。,好好爺,こうこうや,X,X
32,音読み,a,律呂,りつりょ,楽器の律呂を調える。,律呂,りつりょ,X,X
33,音読み,a,托鉢,たくはつ,托鉢の僧が街角に立つ。,托鉢,たくはつ,X,X
34,音読み,a,脆弱,ぜいじゃく,体が脆弱で学校を休みがちだ。,脆弱,ぜいじゃく,X,X
35,音読み,a,凌雲,りょううん,凌雲の志を抱く。,凌雲,りょううん,X,X
36,音読み,a,紅蓮,ぐれん,母屋が紅蓮の炎に包まれる。,紅蓮,ぐれん,X,X
37,音読み,a,甜菜,てんさい,甜菜から砂糖を精製する。,甜菜,てんさい,X,X
38,音読み,a,神輿,みこし,神輿を清めるための儀式を行う。,神輿,みこし,X,X
39,音読み,a,凄惨,せいさん,凄惨な場面に目をそむける。,凄惨,せいさん,X,X
40,音読み,a,疏外感,そがいかん,仲間の中で疏外感を味わう。,疏外感,そがいかん,X,X
41,音読み,a,遺憾,いかん,政府は遺憾の意を表明した。,遺憾,いかん,X,X
42,音読み,a,怒濤,どとう,出来事が怒濤のように押し寄せる。,怒濤,どとう,X,X
43,音読み,a,形骸,けいがい,形骸となっているルールを見直す。,形骸,けいがい,X,X
44,音読み,a,不遜,ふそん,不遜な態度に腹を立てる。,不遜,ふそん,X,X
45,音読み,a,靱性,じんせい,革の靱性を確かめる。,靱性,じんせい,X,X
46,音読み,a,参詣,さんけい,正月に神社に参詣した。,参詣,さんけい,X,X
47,音読み,a,尖塔,せんとう,城の尖塔に幽閉されている。,尖塔,せんとう,X,X
48,音読み,a,煎餅,せんべい,煎餅を焼く香ばしい匂いが漂う。,煎餅,せんべい,X,X
49,音読み,a,白狐,びゃっこ,北極の白狐を見る。,白狐,びゃっこ,X,X
50,音読み,a,堆肥,たいひ,畑に堆肥を撒く。,堆肥,たいひ,X,X
51,音読み,a,工廠,こうしょう,戦時中、空襲を受けた工廠だ。,工廠,こうしょう,X,X
52,音読み,a,大火,たいか,庚寅の年に大火があった。,大火,たいか,X,X
53,音読み,a,掌握,しょうあく,課長はすべての部下を掌握している。,掌握,しょうあく,X,X
54,音読み,a,空隙,くうげき,空隙を埋める。,空隙,くうげき,X,X
55,音読み,a,籠絡,ろうらく,敵将を籠絡する。,籠絡,ろうらく,X,X
56,音読み,a,壊死,えし,足先が壊死する。,壊死,えし,X,X
57,音読み,a,妖艶,ようえん,妖艶な姿を披露する。,妖艶,ようえん,X,X
58,音読み,a,城柵,じょうさく,城柵を巡らす。,城柵,じょうさく,X,X
59,音読み,a,分娩,ぶんべん,男児を分娩する。,分娩,ぶんべん,X,X
60,音読み,a,自然薯,じねんじょ,自然薯を掘り起こす。,自然薯,じねんじょ,X,X
61,音読み,a,貴賤,きせん,貴賤を問わない。,貴賤,きせん,X,X
62,音読み,a,劫火,ごうか,劫火に包まれる。,劫火,ごうか,X,X
63,音読み,a,激昂,げきこう,激昂して退席する。,激昂,げきこう,X,X
64,音読み,a,趨向,すうこう,政局の趨向に従う。,趨向,すうこう,X,X
65,音読み,a,分水嶺,ぶんすいれい,分水嶺に立つ。,分水嶺,ぶんすいれい,X,X
66,音読み,a,轟音,ごうおん,重機が轟音を立てる。,轟音,ごうおん,X,X
67,音読み,a,射幸心,しゃこうしん,射幸心を煽る。,射幸心,しゃこうしん,X,X
68,音読み,a,叡智,えいち,叡智を結集する。,叡智,えいち,X,X
69,音読み,a,戟,げき,兵が戟を構える。,戟,げき,X,X
70,音読み,a,骨董,こっとう,骨董市で壺を購う。,骨董,こっとう,X,X
71,音読み,a,倭語,わご,返書に倭語を用いる。,倭語,わご,X,X
72,音読み,a,尖鋭,せんえい,尖鋭な思想に立つ。,尖鋭,せんえい,X,X
73,音読み,a,姻戚,いんせき,姻戚関係を結ぶ。,姻戚,いんせき,X,X
74,音読み,a,辰砂,しんしゃ,辰砂で顔料を作る。,辰砂,しんしゃ,X,X
75,音読み,a,寸隙,すんげき,寸隙を割いて鍛える。,寸隙,すんげき,X,X
76,音読み,a,稀有,けう,稀有な事故が起こる。,稀有,けう,X,X
77,音読み,a,轟然,ごうぜん,轟然たる砲声が響く。,轟然,ごうぜん,X,X
78,音読み,a,山麓,さんろく,山麓に草原が広がる。,山麓,さんろく,X,X
79,音読み,a,界隈,かいわい,この界隈では評判だ。,界隈,かいわい,X,X
80,音読み,a,瑞雲,ずいうん,突如瑞雲が現れる。,瑞雲,ずいうん,X,X
81,音読み,a,杜撰,ずさん,杜撰な計画を見直す。,杜撰,ずさん,X,X
82,音読み,a,籠城,ろうじょう,籠城作戦を敢行する。,籠城,ろうじょう,X,X
83,音読み,a,葡萄,ぶどう,葡萄を発酵させる。,葡萄,ぶどう,X,X
84,音読み,a,拳骨,げんこつ,拳骨を振り上げる。,拳骨,げんこつ,X,X
85,音読み,a,畏怖,いふ,畏怖の念を抱く。,畏怖,いふ,X,X
86,音読み,a,割烹,かっぽう,割烹で夕飯を済ます。,割烹,かっぽう,X,X
87,音読み,a,擾乱,じょうらん,各地に擾乱が起こる。,擾乱,じょうらん,X,X
88,音読み,a,微塵,みじん,微塵も痕跡がない。,微塵,みじん,X,X
89,訓読み,a,辿る,たどる,来た道を辿ってゴールを目指す。,辿,たど,X,る
90,訓読み,a,擢んでる,ぬきんでる,その人の力量は擢んでている。,擢,ぬき,X,んでる
91,訓読み,a,捌く,さばく,性格が捌けているといわれる。,捌,さば,X,く
92,訓読み,a,萎れる,しおれる,萎れかけた花を水に挿す。,萎,しお,X,れる
93,訓読み,a,蘇る,よみがえる,意識不明の状態から蘇った。,蘇,よみがえ,X,る
94,訓読み,a,漣,さざなみ,夕暮れに湖の漣を見つめていた。,漣,さざなみ,X,X
95,訓読み,a,適う,かなう,眼鏡に適う人物はいなかった。,適,かな,X,う
96,訓読み,a,頑,かたくな,その頑さは誰に似たのだろう。,頑,かたくな,X,X
97,訓読み,a,狛犬,こまいぬ,子供の頃、神社の狛犬が怖かった。,狛犬,こまいぬ,X,X
98,訓読み,a,噺,はなし,落語家の噺を聞く。,噺,はなし,X,X
99,訓読み,a,蔑ろ,ないがしろ,人の親切を蔑ろにする。,蔑,ないがし,X,ろ
100,訓読み,a,宥める,なだめる,泣く子を必死に宥めている。,宥,なだ,X,める
101,訓読み,a,煽てる,おだてる,煽てられていい気になる。,煽,おだ,X,てる
102,訓読み,a,蝕む,むしばむ,作物を蝕む害虫を排除する。,蝕,むしば,X,む
103,訓読み,a,覗く,のぞく,小さな穴から部屋の中を覗いた。,覗,のぞ,X,く
104,訓読み,a,俄かに,にわかに,俄か評論家になって批評する。,俄,にわ,X,かに
105,訓読み,a,蔑む,さげすむ,蔑みをこめて睨みつける。,蔑,さげす,X,む
106,訓読み,a,雫,しずく,雪が解けて雫がしたたっている。,雫,しずく,X,X
107,訓読み,a,怯む,ひるむ,相手の怯む隙に攻め込んだ。,怯,ひる,X,む
108,訓読み,a,綻ぶ,ほころぶ,袖の綻びを直してもらう。,綻,ほころ,X,ぶ
109,訓読み,a,佃煮,つくだに,牛肉の佃煮が好物だ。,佃煮,つくだに,X,X
110,訓読み,a,瑞穂,みずほ,「瑞穂の国」との美称が使われる。,瑞穂,みずほ,X,X
111,訓読み,a,煽る,あおる,人心を煽って暴動を起こす。,煽,あお,X,る
112,訓読み,a,轡,くつわ,二頭が轡を並べてゴールした。,轡,くつわ,X,X
113,訓読み,a,塙,はなわ,塙に展望所と遊歩道を整備する。,塙,はなわ,X,X
114,訓読み,a,庇う,かばう,足に負った傷を庇う。,庇,かば,X,う
115,訓読み,a,曝す,さらす,納屋が風雨に曝されて朽ちる。,曝,さら,X,す
116,訓読み,a,顎,あご,顎足つきの招待を受ける。,顎,あご,X,X
117,訓読み,a,具,つぶさ,一日の出来事を具に報告する。,具,つぶさ,X,X
118,訓読み,a,麹,こうじ,日本の発酵食品には麹が必要だ。,麹,こうじ,X,X
119,訓読み,a,梯子,はしご,屋根に梯子をかける。,梯子,はしご,X,X
120,訓読み,a,茜,あかね,夕暮れの茜雲がきれいだ。,茜,あかね,X,X
121,訓読み,a,凪,なぎ,浜は凪で穏やかな夕暮れだ。,凪,なぎ,X,X
122,訓読み,a,悉く,ことごとく,検事の主張は悉く却下された。,悉,ことごと,X,く
123,訓読み,a,凄まじい,すさまじい,凄まじい勢いでゴールに向かう。,凄,すさ,X,まじい
124,訓読み,a,些か,いささか,解決するには些か難しい問題だ。,些,いささ,X,か
125,訓読み,a,歪,いびつ,歪な形の痕が残る。,歪,いびつ,X,X
126,訓読み,a,凌ぐ,しのぐ,その実力は師をも凌ぐ。,凌,しの,X,ぐ
127,訓読み,a,穿つ,うがつ,穿ったことを言う人だ。,穿,うが,X,つ
128,訓読み,a,縞柄,しまがら,縞柄のシャツを着る。,縞柄,しまがら,X,X
129,訓読み,a,薙ぐ,なぐ,敵を薙ぎ倒して進む。,薙,な,X,ぐ
130,訓読み,a,萌える,もえる,萌え出す草木の息吹を感じる。,萌,も,X,える
131,訓読み,a,尖る,とがる,尖った塔のシルエットが美しい。,尖,とが,X,る
132,訓読み,a,匂う,におう,芳しい匂いに思わず振り向く。,匂,にお,X,う
133,訓読み,a,昂る,たかぶる,気持ちの昂りを抑えきれない。,昂,たかぶ,X,る
134,訓読み,a,凧,たこ,空にいくつもの凧が揚がっている。,凧,たこ,X,X
135,訓読み,a,厭きる,あきる,母の愚痴は聞き厭きた。,厭,あ,X,きる
136,訓読み,a,弄ぶ,もてあそぶ,悲しい運命に弄ばれた。,弄,もてあそ,X,ぶ
137,訓読み,a,鰯,いわし,新鮮な鰯で鮨を作る。,鰯,いわし,X,X
138,訓読み,a,蛭,ひる,田んぼで蛭に血を吸われた。,蛭,ひる,X,X
139,訓読み,a,種籾,たねもみ,春が訪れて種籾を播く。,種籾,たねもみ,X,X
140,訓読み,a,挫く,くじく,突然の訪問に出鼻を挫かれた。,挫,くじ,X,く
141,訓読み,a,窺う,うかがう,小窓から外の様子を窺う。,窺,うかが,X,う
142,訓読み,a,鱈,たら,鍋に鱈の切り身を入れる。,鱈,たら,X,X
143,訓読み,a,巷,ちまた,巷で話題の恐竜の映画を鑑賞する。,巷,ちまた,X,X
144,訓読み,a,罵る,ののしる,大きな罵り声が聞こえてきた。,罵,ののし,X,る
145,訓読み,a,面舵,おもかじ,面舵を切って北北西に変針する。,面舵,おもかじ,X,X
146,訓読み,a,亡骸,なきがら,家族が亡骸にすがって号泣した。,亡骸,なきがら,X,X
147,訓読み,a,閏年,うるうどし,閏年は四年に一度めぐってくる。,閏年,うるうどし,X,X
148,訓読み,a,牡蠣,かき,牡蠣は冬がおいしいといわれる。,牡蠣,かき,X,X
149,訓読み,a,拳,こぶし,拳を上げて喜びを表現する。,拳,こぶし,X,X
150,訓読み,a,拭う,ぬぐう,汗を拭って作業を続けた。,拭,ぬぐ,X,う
151,訓読み,a,凧糸,たこいと,凧糸を竹に巻き付ける。,凧糸,たこいと,X,X
152,訓読み,a,耽る,ふける,図書館にこもって読書に耽る。,耽,ふけ,X,る
153,訓読み,a,苛立つ,いらだつ,煮え切らない態度に苛立つ。,苛立,いらだ,X,つ
154,訓読み,a,袖,そで,役人に対して袖の下を使う。,袖,そで,X,X
155,訓読み,a,艶かしい,なまめかしい,和装が艶かしい。,艶,なまめ,X,かしい
156,訓読み,a,栃,とち,栃の実の灰汁を抜く。,栃,とち,X,X
157,訓読み,a,鯛,たい,えびで鯛を釣る。,鯛,たい,X,X
158,訓読み,a,栽培,さいばい,椎茸を栽培する。,栽培,さいばい,X,X
159,訓読み,a,屍,しかばね,屍を人前にさらす。,屍,しかばね,X,X
160,訓読み,a,兜,かぶと,兜の緒を締める。,兜,かぶと,X,X
161,訓読み,a,杭,くい,境界線に杭を打つ。,杭,くい,X,X
162,訓読み,a,蹴鞠,けまり,園庭で蹴鞠を楽しむ。,蹴鞠,けまり,X,X
163,訓読み,a,妖しい,あやしい,妖しい魅力がある。,妖,あや,X,しい
164,訓読み,a,神楽,かぐら,神楽を奉納する。,神楽,かぐら,X,X
165,訓読み,a,鮫,さめ,鮫をもりで捕らえる。,鮫,さめ,X,X
166,訓読み,a,被る,かぶる,布団を被って寝る。,被,かぶ,X,る
167,訓読み,a,鶯,うぐいす,鶯が春を告げる。,鶯,うぐいす,X,X
168,訓読み,a,辻斬り,つじぎり,辻斬りに遭遇する。,辻斬,つじぎ,X,り
169,訓読み,a,茜雲,あかねぐも,茜雲が秋空に耀く。,茜雲,あかねぐも,X,X
170,訓読み,a,勾玉,まがたま,勾玉が出土する。,勾玉,まがたま,X,X
171,訓読み,a,側,そば,暖炉の側に寄る。,側,そば,X,X
172,訓読み,a,曲者,くせもの,曲者が忍び込む。,曲者,くせもの,X,X
173,訓読み,a,常闇,とこやみ,常闇に包まれる。,常闇,とこやみ,X,X
174,訓読み,a,柊,ひいらぎ,庭園に柊を植える。,柊,ひいらぎ,X,X
175,訓読み,a,小径,こみち,小径を散歩する。,小径,こみち,X,X
176,訓読み,a,蟻,あり,蟻が土に巣穴を作る。,蟻,あり,X,X
177,訓読み,a,揃える,そろえる,商品を豊富に揃える。,揃,そろ,X,える
178,訓読み,a,柚湯,ゆずゆ,冬至に柚湯に浸かる。,柚湯,ゆずゆ,X,X
179,訓読み,a,杯,さかずき,杯を酌み交わす。,杯,さかずき,X,X
180,訓読み,a,楯突く,たてつく,弟子が師に楯突く。,楯突,たてつ,X,く
181,訓読み,a,御伽噺,おとぎばなし,幼子に御伽噺を読む。,御伽噺,おとぎばなし,X,X
182,訓読み,a,縞鰺,しまあじ,縞鰺を三枚に下ろす。,縞鰺,しまあじ,X,X
183,訓読み,a,竿,さお,竿に釣り糸を付ける。,竿,さお,X,X
184,表外読み,a,強か,したたか,転んで強かに腰を打った。,強,したた,X,か
185,表外読み,a,労る,いたわる,お年寄りを労る心が大切だ。,労,いたわ,X,る
186,表外読み,a,長ける,たける,漢字の読み書きに長けている。,長,た,X,ける
187,表外読み,a,慮る,おもんぱかる,友人の立場を慮って対処する。,慮,おもんぱか,X,る
188,表外読み,a,集る,たかる,蟻が残飯に集っている。,集,たか,X,る
189,表外読み,a,番,つがい,猫を一番で飼う。,番,つがい,X,X
190,表外読み,a,妄り,みだり,妄りに信じてはいけない。,妄,みだ,X,り
191,表外読み,a,万,よろず,万承ります。,万,よろず,X,X
192,表外読み,a,予め,あらかじめ,予め資料を作成しておく。,予,あらかじ,X,め
193,表外読み,a,邪,よこしま,邪なたくらみが暴かれる。,邪,よこしま,X,X
194,表外読み,a,設える,しつらえる,客間を和風に設える。,設,しつら,X,える
195,表外読み,a,弁える,わきまえる,前後の弁えもなく発言してしまう。,弁,わきま,X,える
196,表外読み,a,棺,ひつぎ,愛用の品とともに棺に納める。,棺,ひつぎ,X,X
197,表外読み,a,頻り,しきり,隣家の犬が頻りに吠えている。,頻,しき,X,り
198,表外読み,a,抗う,あらがう,時代の趨勢に抗うことはできない。,抗,あらが,X,う
199,表外読み,a,爆ぜる,はぜる,火が爆ぜる暖炉の周りでくつろぐ。,爆,は,X,ぜる
200,表外読み,a,奇しくも,くしくも,奇しくも同年齢だった。,奇,く,X,しくも
201,表外読み,a,凍てつく,いてつく,凍てつくような夜空の下を歩く。,凍,い,X,てつく
202,表外読み,a,徒,いたずら,目的もなく徒に時を費やす。,徒,いたずら,X,X
203,表外読み,a,則る,のっとる,歓迎会は慣習に則って行われる。,則,のっと,X,る
204,表外読み,a,均す,ならす,荒れ地を均して公園にする。,均,なら,X,す
205,表外読み,a,尽く,ことごとく,作戦が尽く失敗する。,尽,ことごと,X,く
206,表外読み,a,雅,みやび,バレリーナが雅に舞った。,雅,みやび,X,X
207,表外読み,a,寛ぐ,くつろぐ,ゆったり寛げる特等室だ。,寛,くつろ,X,ぐ
208,表外読み,a,詳らか,つまびらか,自宅の間取りを詳らかに製図する。,詳,つまび,X,らか
209,表外読み,a,鑑みる,かんがみる,過去の歴史を鑑みて判断を下す。,鑑,かんが,X,みる
210,表外読み,a,疎か,おろそか,命を疎かにしてはならない。,疎,おろそ,X,か
211,表外読み,a,諸,もろもろ,諸の事情を汲む。,諸,もろもろ,X,X
212,表外読み,a,企む,たくらむ,よからぬことを企んでいるな。,企,たくら,X,む
214,表外読み,a,理,ことわり,盛者必衰の理。,理,ことわり,X,X
215,音読み,b,後胤,こういん,天皇の後胤として大切にされる。,後胤,こういん,X,X
216,音読み,b,釜中,ふちゅう,釜中の魚、絶体絶命だ。,釜中,ふちゅう,X,X
217,音読み,b,上巳,じょうし,上巳は五節句の一つだ。,上巳,じょうし,X,X
218,音読み,b,推戴,すいたい,彼を総裁として推戴する。,推戴,すいたい,X,X
219,音読み,b,謬言,びゅうげん,謬言を恥じて口をつぐむ。,謬言,びゅうげん,X,X
220,音読み,b,俗諺,ぞくげん,地域の俗諺を調べる。,俗諺,ぞくげん,X,X
221,音読み,b,膝下,しっか,未だ父母の膝下に留まる。,膝下,しっか,X,X
222,音読み,b,翠嵐,すいらん,翠嵐のなかを歩く。,翠嵐,すいらん,X,X
223,音読み,b,穆穆,ぼくぼく,穆穆たる天子に仕える。,穆穆,ぼくぼく,X,X
224,音読み,b,罫紙,けいし,花の描かれた罫紙を購入する。,罫紙,けいし,X,X
225,音読み,b,聾する,ろうする,耳を聾する騒音が安眠を妨げた。,聾,ろう,X,する
226,音読み,b,亥月,がいげつ,亥月を迎えて紅葉が見頃だ。,亥月,がいげつ,X,X
227,音読み,b,熊掌,ゆうしょう,熊掌は中国で美味の象徴とされている。,熊掌,ゆうしょう,X,X
228,音読み,b,欽慕,きんぼ,先生に欽慕の情を抱く。,欽慕,きんぼ,X,X
229,音読み,b,杏林,きょうりん,杏林とは医者の美称だ。,杏林,きょうりん,X,X
230,音読み,b,仇怨,きゅうえん,積年の仇怨を晴らす時が来た。,仇怨,きゅうえん,X,X
231,音読み,b,鬱散,うっさん,鬱散に酒でも飲まないか。,鬱散,うっさん,X,X
232,音読み,b,領袖,りょうしゅう,政党の領袖となる。,領袖,りょうしゅう,X,X
233,音読み,b,賞牌,しょうはい,優勝者に賞牌を授与する。,賞牌,しょうはい,X,X
234,音読み,b,倭訓,わくん,古代の漢籍に倭訓を付ける。,倭訓,わくん,X,X
235,音読み,b,匡正,きょうせい,綱紀の匡正を行う。,匡正,きょうせい,X,X
236,音読み,b,弓箭,きゅうせん,弓箭の出を鼻にかける。,弓箭,きゅうせん,X,X
237,音読み,b,赫灼,かくしゃく,赫灼たる太陽の光を浴びる。,赫灼,かくしゃく,X,X
238,音読み,b,曽遊,そうゆう,曽遊の地を再び訪ねる。,曽遊,そうゆう,X,X
239,音読み,b,妖姫,ようき,この物語の主人公は妖姫だ。,妖姫,ようき,X,X
240,音読み,b,蒙昧,もうまい,無知蒙昧の輩ほど楽観している。,蒙昧,もうまい,X,X
241,音読み,b,耽読,たんどく,時間を忘れて推理小説を耽読した。,耽読,たんどく,X,X
242,音読み,b,杜漏,ずろう,杜漏な計画はすぐに破綻する。,杜漏,ずろう,X,X
243,音読み,b,袖珍,しゅうちん,袖珍本を携帯する。,袖珍,しゅうちん,X,X
244,音読み,b,邑落,ゆうらく,山中にはいくつかの邑落がある。,邑落,ゆうらく,X,X
245,音読み,b,廟議,びょうぎ,廟議により決定が下された。,廟議,びょうぎ,X,X
246,音読み,b,卜占,ぼくせん,大王は卜占にて政事を執り行った。,卜占,ぼくせん,X,X
247,音読み,b,暁闇,ぎょうあん,暁闇をついて旅路に就いた。,暁闇,ぎょうあん,X,X
248,音読み,b,貼用,ちょうよう,ここに収入印紙を貼用する。,貼用,ちょうよう,X,X
249,音読み,b,棲息,せいそく,その生き物は木の穴に棲息する。,棲息,せいそく,X,X
250,音読み,b,湛然,たんぜん,彼女の湛然とした態度に感心する。,湛然,たんぜん,X,X
251,音読み,b,叱正,しっせい,師のご叱正を仰いだ。,叱正,しっせい,X,X
252,音読み,b,凋残,ちょうざん,凋残の姿に切なさをおぼえる。,凋残,ちょうざん,X,X
253,音読み,b,名諺,めいげん,美しい景色を前に名諺を口ずさむ。,名諺,めいげん,X,X
254,音読み,b,舌尖,ぜっせん,舌尖鋭く相手に詰め寄る。,舌尖,ぜっせん,X,X
255,音読み,b,焚刑,ふんけい,敵軍の将は焚刑に処せられた。,焚刑,ふんけい,X,X
256,音読み,b,沃土,よくど,沃土を耕して作物を作る。,沃土,よくど,X,X
257,音読み,b,遡上,そじょう,秋になると鮭が川を遡上する。,遡上,そじょう,X,X
258,音読み,b,剣戟,けんげき,両軍相まみえて剣戟を振るう。,剣戟,けんげき,X,X
259,音読み,b,押捺,おうなつ,契約書に署名とともに押捺する。,押捺,おうなつ,X,X
260,音読み,b,箭頭,せんとう,発掘された箭頭を調査する。,箭頭,せんとう,X,X
261,音読み,b,僻遠,へきえん,僻遠の地に赴任する。,僻遠,へきえん,X,X
262,音読み,b,蕪辞,ぶじ,蕪辞を連ねてお祝いの言葉とする。,蕪辞,ぶじ,X,X
263,音読み,b,浮腫,ふしゅ,皮膚がむくみ浮腫ができている。,浮腫,ふしゅ,X,X
264,音読み,b,正閏,せいじゅん,南北朝は正閏の争いの時代だった。,正閏,せいじゅん,X,X
265,音読み,b,咽下,えんか,異物を咽下しないように気をつける。,咽下,えんか,X,X
266,音読み,b,黛青,たいせい,黛青の山を眺め、春を感じる。,黛青,たいせい,X,X
267,音読み,b,波濤,はとう,岩に波濤が押し寄せる。,波濤,はとう,X,X
268,音読み,b,嚢中,のうちゅう,私の嚢中には一物もない。,嚢中,のうちゅう,X,X
269,音読み,b,清穆,せいぼく,民のため清穆の世が続くことを望む。,清穆,せいぼく,X,X
270,音読み,b,蕩尽,とうじん,すべての財産を蕩尽した。,蕩尽,とうじん,X,X
271,音読み,b,嘗試,しょうし,開発のための各社製品を嘗試する。,嘗試,しょうし,X,X
272,音読み,b,加餐,かさん,ご退院後もご加餐ください。,加餐,かさん,X,X
273,音読み,b,急灘,きゅうだん,急灘を越えるための訓練をする。,急灘,きゅうだん,X,X
274,音読み,b,吻合,ふんごう,双方の話が吻合する。,吻合,ふんごう,X,X
275,音読み,b,知悉,ちしつ,裏事情について知悉している。,知悉,ちしつ,X,X
276,音読み,b,嬰児,えいじ,泣いている嬰児をあやす。,嬰児,えいじ,X,X
277,音読み,b,雅馴,がじゅん,書家らしい雅馴な書きぶりだ。,雅馴,がじゅん,X,X
278,音読み,b,松濤,しょうとう,旅先で松濤に耳をすます。,松濤,しょうとう,X,X
279,音読み,b,歯牙,しが,相手を歯牙にもかけない態度だ。,歯牙,しが,X,X
280,音読み,b,首魁,しゅかい,騒動の首魁を捕らえる。,首魁,しゅかい,X,X
281,音読み,b,夙志,しゅくし,やっとの思いで夙志を叶える。,夙志,しゅくし,X,X
282,音読み,b,天蓋,てんがい,天蓋つきのベッドで眠る。,天蓋,てんがい,X,X
283,音読み,b,岡陵,こうりょう,岡陵の遺跡を訪れる。,岡陵,こうりょう,X,X
284,音読み,b,横溢,おういつ,エネルギーが横溢している。,横溢,おういつ,X,X
285,音読み,b,惣領,そうりょう,惣領息子を一人前に育てる。,惣領,そうりょう,X,X
286,音読み,b,自彊,じきょう,自彊してやまず。,自彊,じきょう,X,X
287,音読み,b,堵列,とれつ,高官が堵列して国賓を出迎える。,堵列,とれつ,X,X
