識別番号,分野,頻出度,言葉,読み,文章,漢字1,読み1,漢字2,読み2
288,音読み,b,一瞥,いちべつ,一瞥して去っていった。,一瞥,いちべつ,X,X
289,音読み,b,胡乱,うろん,胡乱な者が近所をうろついている。,胡乱,うろん,X,X
290,音読み,b,燦燦,さんさん,日が燦燦と照りつける。,燦燦,さんさん,X,X
291,音読み,b,欽定,きんてい,新しい欽定憲法が制定された。,欽定,きんてい,X,X
292,音読み,b,厨芥,ちゅうかい,厨芥を回収して堆肥に変える。,厨芥,ちゅうかい,X,X
293,音読み,b,儲嗣,ちょし,国王が儲嗣に帝王学を授ける。,儲嗣,ちょし,X,X
294,音読み,b,翫弄,がんろう,物を翫弄して気を紛らす。,翫弄,がんろう,X,X
295,音読み,b,筆鋒,ひっぽう,その評論は筆鋒鋭い。,筆鋒,ひっぽう,X,X
296,音読み,b,頸聯,けいれん,頸聯の対句が巧みな漢詩だ。,頸聯,けいれん,X,X
297,音読み,b,勾引,こういん,裁判所から勾引状が届く。,勾引,こういん,X,X
298,音読み,b,兇刃,きょうじん,都会の片隅で兇刃に倒れた。,兇刃,きょうじん,X,X
299,音読み,b,残鶯,ざんおう,物悲しい残鶯の声が響く。,残鶯,ざんおう,X,X
300,音読み,b,廟堂,びょうどう,御所の廟堂を見学する。,廟堂,びょうどう,X,X
301,音読み,b,夙起,しゅっき,夙起して散歩に出かける。,夙起,しゅっき,X,X
302,音読み,b,厭世,えんせい,厭世の感にとらわれる。,厭世,えんせい,X,X
303,音読み,b,溢決,いっけつ,豪雨の影響で川が溢決する。,溢決,いっけつ,X,X
304,音読み,b,烏兎,うと,烏兎が矢のように過ぎ去っていく。,烏兎,うと,X,X
305,音読み,b,嘆声,たんせい,隣家の嘆声が耳につく。,嘆声,たんせい,X,X
306,音読み,b,佳辰,かしん,佳辰に結納を取りかわす。,佳辰,かしん,X,X
307,音読み,b,魁傑,かいけつ,門下に魁傑がそろう。,魁傑,かいけつ,X,X
308,音読み,b,瞥見,べっけん,資料を瞥見して講演する。,瞥見,べっけん,X,X
309,音読み,b,骸骨,がいこつ,古代人の骸骨が発見された。,骸骨,がいこつ,X,X
310,音読み,b,抜錨,ばつびょう,夕方には抜錨する予定だ。,抜錨,ばつびょう,X,X
311,音読み,b,半帖,はんじょう,半帖の紙に書をしたためる。,半帖,はんじょう,X,X
312,音読み,b,晦冥,かいめい,晦冥の中を進む。,晦冥,かいめい,X,X
313,音読み,b,智慧,ちえ,仏の智慧を学ぶ。,智慧,ちえ,X,X
314,音読み,b,遡及,そきゅう,判決を下すための判例を遡及する。,遡及,そきゅう,X,X
315,音読み,b,阿片窟,あへんくつ,昔あそこに阿片窟があった。,阿片窟,あへんくつ,X,X
316,音読み,b,爾後,じご,爾後を何事もなく過ごす。,爾後,じご,X,X
317,音読み,b,弄舌,ろうぜつ,彼の弄舌ぶりには閉口する。,弄舌,ろうぜつ,X,X
318,音読み,b,玩読,がんどく,好きな作家の作品を玩読する。,玩読,がんどく,X,X
319,音読み,b,恩誼,おんぎ,先生の恩誼に報いる。,恩誼,おんぎ,X,X
320,音読み,b,魁首,かいしゅ,盗賊団の魁首となる。,魁首,かいしゅ,X,X
321,音読み,b,蓋棺,がいかん,いよいよ蓋棺のときを迎える。,蓋棺,がいかん,X,X
322,音読み,b,枯凋,こちょう,草木の枯凋を悲しむ。,枯凋,こちょう,X,X
323,音読み,b,乃父,だいふ,乃父としてお前に伝えておきたい。,乃父,だいふ,X,X
324,音読み,b,鶏肋,けいろく,鶏肋の処分に悩む。,鶏肋,けいろく,X,X
325,音読み,b,芳馨,ほうけい,得も言われぬ芳馨に満ちている。,芳馨,ほうけい,X,X
326,音読み,b,劉覧,りゅうらん,役員名簿を劉覧する。,劉覧,りゅうらん,X,X
327,音読み,b,夙昔,しゅくせき,夙昔の願いがようやく叶った。,夙昔,しゅくせき,X,X
328,音読み,b,叡断,えいだん,社長の叡断を仰ぐ。,叡断,えいだん,X,X
329,音読み,b,鄭重,ていちょう,花瓶を鄭重に扱う。,鄭重,ていちょう,X,X
330,音読み,b,碩徳,せきとく,碩徳として礼拝されている。,碩徳,せきとく,X,X
331,音読み,b,戊夜,ぼや,趣味に没頭し戊夜に至った。,戊夜,ぼや,X,X
332,音読み,b,庖厨,ほうちゅう,君子は庖厨を遠ざく。,庖厨,ほうちゅう,X,X
333,音読み,b,叩扉,こうひ,数回叩扉したが返事がなかった。,叩扉,こうひ,X,X
334,音読み,b,懸吊,けんちょう,軒下に提灯を懸吊する。,懸吊,けんちょう,X,X
335,音読み,b,牝馬,ひんば,二頭の牝馬が誕生した。,牝馬,ひんば,X,X
336,音読み,b,老鶯,ろうおう,老鶯は夏の季語である。,老鶯,ろうおう,X,X
337,音読み,b,参籠,さんろう,寺に三日間参籠する。,参籠,さんろう,X,X
338,音読み,b,刺戟,しげき,調味料が舌を刺戟する。,刺戟,しげき,X,X
339,音読み,b,釜竃,ふそう,釜竃を使って炊いた飯は格別だ。,釜竃,ふそう,X,X
340,音読み,b,拝揖,はいゆう,妃に対して拝揖する。,拝揖,はいゆう,X,X
341,音読み,b,歪曲,わいきょく,事実の歪曲して報道する。,歪曲,わいきょく,X,X
342,音読み,b,喧伝,けんでん,種々の言説が喧伝されている。,喧伝,けんでん,X,X
343,音読み,b,厭忌,えんき,戦争を厭忌する。,厭忌,えんき,X,X
344,音読み,b,坤軸,こんじく,坤軸を揺るがす地震。,坤軸,こんじく,X,X
345,音読み,b,落胤,らくいん,御落胤が出家する。,落胤,らくいん,X,X
346,音読み,b,湛湛,たんたん,湛湛と水をたたえる。,湛湛,たんたん,X,X
347,音読み,b,橘中,きっちゅう,橘中の楽しみ。,橘中,きっちゅう,X,X
348,音読み,b,云々,うんぬん,云々すべきではない。,云々,うんぬん,X,X
349,音読み,b,亮然,りょうぜん,亮然たる差が開く。,亮然,りょうぜん,X,X
350,音読み,b,君寵,くんちょう,君寵に浴する。,君寵,くんちょう,X,X
351,音読み,b,負笈,ふきゅう,負笈して立身する。,負笈,ふきゅう,X,X
352,音読み,b,檜垣,ひがき,檜垣で敷地を囲う。,檜垣,ひがき,X,X
353,音読み,b,輪輿,りんよ,輪輿の職人を雇う。,輪輿,りんよ,X,X
354,音読み,b,萌動,ほうどう,草木が萌動する。,萌動,ほうどう,X,X
355,音読み,b,藍綬,らんじゅ,藍綬褒章を授与する。,藍綬,らんじゅ,X,X
356,音読み,b,鎮咳,ちんがい,鎮咳薬を処方する。,鎮咳,ちんがい,X,X
357,音読み,b,宏壮,こうそう,宏壮な屋敷に住む。,宏壮,こうそう,X,X
358,音読み,b,瓦石,がせき,瓦石同然の偽物だ。,瓦石,がせき,X,X
359,音読み,b,註文,ちゅうもん,料理を註文する。,註文,ちゅうもん,X,X
360,音読み,b,剃度,ていど,剃度の儀式を行う。,剃度,ていど,X,X
361,音読み,b,勃如,ぼつじょ,顔色を勃如と変える。,勃如,ぼつじょ,X,X
362,音読み,b,佑宰,ゆうさい,佑宰に相談する。,佑宰,ゆうさい,X,X
363,音読み,b,恩賜,おんし,恩賜公園が開園する。,恩賜,おんし,X,X
364,音読み,b,饗応,きょうおう,旅先で饗応を受ける。,饗応,きょうおう,X,X
365,音読み,b,辛巳,しんし,来年は辛巳にあたる。,辛巳,しんし,X,X
366,音読み,b,斧正,ふせい,斧正を請う。,斧正,ふせい,X,X
367,音読み,b,貫穿,かんせん,広く学問を貫穿する。,貫穿,かんせん,X,X
368,音読み,b,賜餐,しさん,賜餐の栄に浴する。,賜餐,しさん,X,X
369,音読み,b,蒐荷,しゅうか,特産品を蒐荷する。,蒐荷,しゅうか,X,X
370,音読み,b,己丑,きちゅう,己丑の年に逝去する。,己丑,きちゅう,X,X
371,音読み,b,簾政,れんせい,簾政を布く。,簾政,れんせい,X,X
372,音読み,b,馴服,じゅんぷく,鷹を馴服させる。,馴服,じゅんぷく,X,X
373,音読み,b,碧梧,へきご,碧梧が生い茂る。,碧梧,へきご,X,X
374,音読み,b,矩形,くけい,矩形に成型加工する。,矩形,くけい,X,X
375,音読み,b,諒闇,りょうあん,諒闇で祝儀を控える。,諒闇,りょうあん,X,X
376,音読み,b,魁梧,かいご,魁梧たる力士を破る。,魁梧,かいご,X,X
377,音読み,b,註疏,ちゅうそ,註疏を加える。,註疏,ちゅうそ,X,X
378,音読み,b,胡座,こざ,胡座して思索に耽る。,胡座,こざ,X,X
379,音読み,b,亮闇,りょうあん,亮闇が開ける。,亮闇,りょうあん,X,X
380,音読み,b,背馳,はいち,原則に背馳する。,背馳,はいち,X,X
381,音読み,b,卯酉,ぼうゆう,地図に卯酉線を描く。,卯酉,ぼうゆう,X,X
382,音読み,b,灘声,だんせい,渓間に灘声が響く。,灘声,だんせい,X,X
383,音読み,b,姦詐,かんさ,姦詐を見抜く。,姦詐,かんさ,X,X
384,音読み,b,藪林,そうりん,藪林が生い茂る。,藪林,そうりん,X,X
385,音読み,b,歎ずる,たんずる,娘の早世を歎ずる。,歎,たん,X,ずる
386,音読み,b,貨賂,かろ,貨賂を受け取る。,貨賂,かろ,X,X
387,音読み,b,凋零,ちょうれい,文化が凋零する。,凋零,ちょうれい,X,X
388,音読み,b,盤陀,はんだ,導線を盤陀付けする。,盤陀,はんだ,X,X
389,音読み,b,鬱乎,うっこ,鬱乎たる森林が続く。,鬱乎,うっこ,X,X
390,音読み,b,晴嵐,せいらん,晴嵐が吹き荒れる。,晴嵐,せいらん,X,X
391,音読み,b,旦夕,たんせき,敗戦が旦夕に迫る。,旦夕,たんせき,X,X
392,音読み,b,王胤,おういん,王胤が元服する。,王胤,おういん,X,X
393,音読み,b,敦厚,とんこう,敦厚な人柄を慕う。,敦厚,とんこう,X,X
394,音読み,b,錯謬,さくびゅう,文献の錯謬に気付く。,錯謬,さくびゅう,X,X
395,音読み,b,叢書,そうしょ,叢書を熟読玩味する。,叢書,そうしょ,X,X
396,音読み,b,光耀,こうよう,光耀を発する。,光耀,こうよう,X,X
397,音読み,b,辺佑,へんゆう,辺佑で静かに暮らす。,辺佑,へんゆう,X,X
398,音読み,b,弛廃,しはい,綱紀が弛廃する。,弛廃,しはい,X,X
399,音読み,b,貼する,ちょうする,魔除けの札を貼する。,貼,ちょう,X,する
400,音読み,b,林藪,りんそう,林藪に分け入る。,林藪,りんそう,X,X
401,音読み,b,蕃境,ばんきょう,蕃境に踏み入れる。,蕃境,ばんきょう,X,X
402,音読み,b,嵐気,らんき,山は嵐気に包まれた。,嵐気,らんき,X,X
403,音読み,b,聯珠,れんじゅ,聯珠に興じる。,聯珠,れんじゅ,X,X
404,音読み,b,補葺,ほしゅう,屋根を補葺する。,補葺,ほしゅう,X,X
405,音読み,b,禾本,かほん,禾本科に属する。,禾本,かほん,X,X
406,音読み,b,狼戻,ろうれい,狼戻の心を抱く。,狼戻,ろうれい,X,X
407,音読み,b,憐情,れんじょう,孤児に憐情を覚える。,憐情,れんじょう,X,X
408,音読み,b,劫末,ごうまつ,劫末が近づく。,劫末,ごうまつ,X,X
409,音読み,b,浩歎,こうたん,妻の早世に浩歎する。,浩歎,こうたん,X,X
410,音読み,b,幡然,はんぜん,前言を幡然と改める。,幡然,はんぜん,X,X
411,音読み,b,巌頭,がんとう,巌頭に立って眺める。,巌頭,がんとう,X,X
412,音読み,b,水団,すいとん,水団をすする。,水団,すいとん,X,X
413,音読み,b,臣妾,しんしょう,敵の臣妾となる。,臣妾,しんしょう,X,X
414,音読み,b,晃晃,こうこう,街灯が晃晃と輝く。,晃晃,こうこう,X,X
415,音読み,b,逐鹿,ちくろく,豪族同士が逐鹿する。,逐鹿,ちくろく,X,X
416,音読み,b,梓行,しこう,詩集を梓行する。,梓行,しこう,X,X
417,音読み,b,款語,かんご,学友と款語する。,款語,かんご,X,X
418,音読み,b,掃滅,そうめつ,鼠盗を掃滅する。,掃滅,そうめつ,X,X
419,音読み,b,孝悌,こうてい,孝悌は仁を為すの本。,孝悌,こうてい,X,X
420,音読み,b,芝眉,しび,藩主の芝眉を拝する。,芝眉,しび,X,X
421,音読み,b,腫脹,しゅちょう,リンパ節が腫脹する。,腫脹,しゅちょう,X,X
422,音読み,b,談藪,だんそう,談藪を熟読玩味する。,談藪,だんそう,X,X
423,音読み,b,穎悟,えいご,穎悟と評される。,穎悟,えいご,X,X
424,音読み,b,泥裏,でいり,泥裏に土塊を洗う。,泥裏,でいり,X,X
425,音読み,b,鹿柴,ろくさい,鹿柴をめぐらす。,鹿柴,ろくさい,X,X
426,音読み,b,胤嗣,いんし,胤嗣が誕生する。,胤嗣,いんし,X,X
427,音読み,b,辛丑,しんちゅう,来年は辛丑に当たる。,辛丑,しんちゅう,X,X
428,音読み,b,爽然,そうぜん,静養して爽然となる。,爽然,そうぜん,X,X
429,音読み,b,花圃,かほ,早春の花圃を愛でる。,花圃,かほ,X,X
430,音読み,b,戴冠,たいかん,戴冠式が挙行された。,戴冠,たいかん,X,X
431,音読み,b,翰藻,かんそう,翰藻に通じる。,翰藻,かんそう,X,X
432,音読み,b,戊申,ぼしん,戊申の年に生まれる。,戊申,ぼしん,X,X
433,音読み,b,聡慧,そうけい,際立って聡慧な子だ。,聡慧,そうけい,X,X
434,音読み,b,不壊,ふえ,不壊の信仰をもつ。,不壊,ふえ,X,X
435,音読み,b,凄艶,せいえん,凄艶な姿に驚嘆する。,凄艶,せいえん,X,X
436,音読み,b,縦容,しょうよう,縦容と応対する。,縦容,しょうよう,X,X
437,音読み,b,青黛,せいたい,青黛の空を見上げる。,青黛,せいたい,X,X
438,音読み,b,粉黛,ふんたい,外出前に粉黛を施す。,粉黛,ふんたい,X,X
439,音読み,b,紙燭,しそく,紙燭に火を点ける。,紙燭,しそく,X,X
440,音読み,b,吃緊,きっきん,吃緊の課題を扱う。,吃緊,きっきん,X,X
441,音読み,b,衿帯,きんたい,衿帯に陣を張る。,衿帯,きんたい,X,X
442,音読み,b,碩儒,せきじゅ,碩儒に助言を求める。,碩儒,せきじゅ,X,X
443,音読み,b,徒爾,とじ,徒爾に終わる。,徒爾,とじ,X,X
444,音読み,b,潰走,かいそう,我先と潰走する。,潰走,かいそう,X,X
445,音読み,b,膏雨,こうう,膏雨を待つ。,膏雨,こうう,X,X
446,音読み,b,穎哲,えいてつ,疑いのない穎哲だ。,穎哲,えいてつ,X,X
447,音読み,b,謬説,びゅうせつ,謬説に惑わされる。,謬説,びゅうせつ,X,X
448,音読み,b,鬱勃,うつぼつ,鬱勃たる闘志が湧く。,鬱勃,うつぼつ,X,X
449,音読み,b,簸弄,はろう,乱世に簸弄される。,簸弄,はろう,X,X
450,音読み,b,奪掠,だつりゃく,私財を奪掠される。,奪掠,だつりゃく,X,X
451,音読み,b,神祇,じんぎ,神祇を祭る。,神祇,じんぎ,X,X
452,音読み,b,草庵,そうあん,奥地に草庵を結ぶ。,草庵,そうあん,X,X
453,音読み,b,己酉,きゆう,来年は己酉に当たる。,己酉,きゆう,X,X
454,音読み,b,枕辺,ちんぺん,枕辺で看病する。,枕辺,ちんぺん,X,X
455,音読み,b,毀誉,きよ,世の毀誉を意識する。,毀誉,きよ,X,X
456,音読み,b,徽号,きごう,陛下より徽号を賜る。,徽号,きごう,X,X
457,音読み,b,聯結,れんけつ,客車を聯結する。,聯結,れんけつ,X,X
458,音読み,b,暗碧,あんぺき,暗碧の夜空を眺める。,暗碧,あんぺき,X,X
459,音読み,b,虞犯,ぐはん,虞犯少年を更生する。,虞犯,ぐはん,X,X
460,音読み,b,棲遅,せいち,辺境の地で棲遅する。,棲遅,せいち,X,X
461,音読み,b,鳴禽,めいきん,鳴禽の声が響く。,鳴禽,めいきん,X,X
462,音読み,b,掩護,えんご,前戦の兵を掩護する。,掩護,えんご,X,X
463,音読み,b,叩門,こうもん,叩門して中に入る。,叩門,こうもん,X,X
464,音読み,b,嬉戯,きぎ,幼子が嬉戯する。,嬉戯,きぎ,X,X
465,音読み,b,西戎,せいじゅう,西戎が侵入する。,西戎,せいじゅう,X,X
466,音読み,b,冊封,さくほう,王から冊封を受ける。,冊封,さくほう,X,X
467,音読み,b,叡慮,えいりょ,叡慮を奉ずる。,叡慮,えいりょ,X,X
468,音読み,b,金無垢,きんむく,金無垢の時計を買う。,金無垢,きんむく,X,X
469,音読み,b,天竺,てんじく,天竺から伝来する。,天竺,てんじく,X,X
470,音読み,b,淵藪,えんそう,淵藪として栄える。,淵藪,えんそう,X,X
471,音読み,b,甘藷,かんしょ,甘藷で地酒を造る。,甘藷,かんしょ,X,X
472,音読み,b,稗官,はいかん,稗官に甘んじる。,稗官,はいかん,X,X
473,音読み,b,垢衣,こうい,垢衣を脱ぐ。,垢衣,こうい,X,X
474,音読み,b,筆翰,ひっかん,筆翰流るるが如し。,筆翰,ひっかん,X,X
475,音読み,b,小隙,しょうげき,小隙を埋める。,小隙,しょうげき,X,X
476,音読み,b,隠栖,いんせい,都を離れ隠栖する。,隠栖,いんせい,X,X
477,音読み,b,禽鳥,きんちょう,好んで禽鳥を描く。,禽鳥,きんちょう,X,X
478,音読み,b,頃来,けいらい,頃来多忙を極める。,頃来,けいらい,X,X
479,音読み,b,甜瓜,てんか,甜瓜が成熟する。,甜瓜,てんか,X,X
480,音読み,b,奄有,えんゆう,隣地を奄有する。,奄有,えんゆう,X,X
481,音読み,b,斯学,しがく,斯学の権威となす。,斯学,しがく,X,X
482,音読み,b,肌膚,きふ,肌膚に膏薬を貼る。,肌膚,きふ,X,X
483,音読み,b,姦計,かんけい,姦計を巡らす。,姦計,かんけい,X,X
484,音読み,b,飛箭,ひせん,飛箭が降り注ぐ。,飛箭,ひせん,X,X
485,音読み,b,斧斤,ふきん,斧斤で薪を割る。,斧斤,ふきん,X,X
486,音読み,b,捷報,しょうほう,捷報に歓喜する。,捷報,しょうほう,X,X
487,音読み,b,慧悟,けいご,慧悟で勇敢な家臣だ。,慧悟,けいご,X,X
488,音読み,b,慨歎,がいたん,我が境涯を慨歎する。,慨歎,がいたん,X,X
489,音読み,b,塁砦,るいさい,塁砦を構築する。,塁砦,るいさい,X,X
490,音読み,b,論駁,ろんばく,他説を論駁する。,論駁,ろんばく,X,X
491,音読み,b,雛孫,すうそん,雛孫が子猫と戯れる。,雛孫,すうそん,X,X
492,音読み,b,溝渠,こうきょ,溝渠を張り巡らす。,溝渠,こうきょ,X,X
493,音読み,b,群棲,ぐんせい,山中に鹿が群棲する。,群棲,ぐんせい,X,X
494,音読み,b,戎衣,じゅうい,弾が戎衣を貫く。,戎衣,じゅうい,X,X
495,音読み,b,仁恕,じんじょ,仁恕の心で接する。,仁恕,じんじょ,X,X
496,音読み,b,薪柴,しんさい,薪柴を集める。,薪柴,しんさい,X,X
497,音読み,b,翠微,すいび,翠微を眺める。,翠微,すいび,X,X
498,音読み,b,縄矩,じょうく,縄矩を定める。,縄矩,じょうく,X,X
499,音読み,b,乙巳,いっし,乙巳の変が起こる。,乙巳,いっし,X,X
500,音読み,b,符牒,ふちょう,荷物に符牒を付ける。,符牒,ふちょう,X,X
501,音読み,b,妬心,としん,妬心を覚える。,妬心,としん,X,X
502,音読み,b,弁疏,べんそ,弁疏の余地がない。,弁疏,べんそ,X,X
503,音読み,b,訊鞠,じんきく,罪人に訊鞠を加える。,訊鞠,じんきく,X,X
504,音読み,b,羅紗,らしゃ,羅紗の帽子を被る。,羅紗,らしゃ,X,X
505,音読み,b,管窺,かんき,管窺を自覚する。,管窺,かんき,X,X
506,音読み,b,梓匠,ししょう,梓匠を雇う。,梓匠,ししょう,X,X
507,音読み,b,青翠,せいすい,青翠の大海が広がる。,青翠,せいすい,X,X
508,音読み,b,董狐,とうこ,董狐の筆。,董狐,とうこ,X,X
509,音読み,b,欽羨,きんせん,欽羨の念を抱く。,欽羨,きんせん,X,X
510,音読み,b,戊寅,ぼいん,戊寅の年に生まれる。,戊寅,ぼいん,X,X
511,音読み,b,傭役,ようえき,適宜傭役する。,傭役,ようえき,X,X
512,音読み,b,暢茂,ちょうも,灌木が暢茂する。,暢茂,ちょうも,X,X
513,音読み,b,鹿砦,ろくさい,自陣に鹿砦を設ける。,鹿砦,ろくさい,X,X
514,音読み,b,雲梯,うんてい,雲梯で腕力を鍛える。,雲梯,うんてい,X,X
515,音読み,b,庇蔭,ひいん,罪人を庇蔭する。,庇蔭,ひいん,X,X
516,音読み,b,欣求,ごんぐ,浄土を欣求する。,欣求,ごんぐ,X,X
517,音読み,b,糸鳶,しえん,空高く糸鳶をあげる。,糸鳶,しえん,X,X
518,音読み,b,撫す,ぶす,腕を撫して待つ。,撫,ぶ,X,す
519,音読み,b,牒状,ちょうじょう,牒状を送る。,牒状,ちょうじょう,X,X
520,音読み,b,袈裟,けさ,袈裟と衣は心に着よ。,袈裟,けさ,X,X
521,音読み,b,知嚢,ちのう,戦略に知嚢を絞る。,知嚢,ちのう,X,X
522,音読み,b,英彦,えいげん,英彦として尊ばれる。,英彦,えいげん,X,X
523,音読み,b,障碍,しょうがい,障碍を乗り越える。,障碍,しょうがい,X,X
524,音読み,b,占卜,せんぼく,占卜で政事を行う。,占卜,せんぼく,X,X
525,音読み,b,逼塞,ひっそく,片田舎に逼塞する。,逼塞,ひっそく,X,X
526,音読み,b,詮議,せんぎ,容赦なく詮議する。,詮議,せんぎ,X,X
527,音読み,b,賞翫,しょうがん,名器を賞翫する。,賞翫,しょうがん,X,X
528,音読み,b,諒察,りょうさつ,御諒察下さい。,諒察,りょうさつ,X,X
529,音読み,b,火箭,かせん,火箭を打ち上げる。,火箭,かせん,X,X
530,音読み,b,些末,さまつ,些末な事にこだわる。,些末,さまつ,X,X
531,音読み,b,掩撃,えんげき,闇に紛れて掩撃する。,掩撃,えんげき,X,X
532,音読み,b,薬圃,やくほ,薬圃から薬草を摘む。,薬圃,やくほ,X,X
533,音読み,b,嘉節,かせつ,嘉節を皆で祝う。,嘉節,かせつ,X,X
534,音読み,b,濡滞,じゅたい,作業が濡滞する。,濡滞,じゅたい,X,X
535,音読み,b,穎才,えいさい,穎才が認められる。,穎才,えいさい,X,X
536,音読み,b,顎関節,がくかんせつ,顎関節が脱臼する。,顎関節,がくかんせつ,X,X
537,音読み,b,鶏黍,けいしょ,主から鶏黍を受ける。,鶏黍,けいしょ,X,X
538,音読み,b,禎祥,ていしょう,禎祥が見られる。,禎祥,ていしょう,X,X
539,音読み,b,昂然,こうぜん,昂然と胸を張る。,昂然,こうぜん,X,X
540,音読み,b,晦匿,かいとく,官吏を辞め晦匿する。,晦匿,かいとく,X,X
541,音読み,b,濤声,とうせい,砂浜に濤声が響く。,濤声,とうせい,X,X
542,音読み,b,駕御,がぎょ,家臣を駕御する。,駕御,がぎょ,X,X
543,音読み,b,鼠輩,そはい,政敵を鼠輩と蔑む。,鼠輩,そはい,X,X
544,音読み,b,防諜,ぼうちょう,防諜を強化する。,防諜,ぼうちょう,X,X
545,音読み,b,渥丹,あくたん,渥丹の器に薬を盛る。,渥丹,あくたん,X,X
546,音読み,b,軽忽,けいこつ,軽忽な言動を戒める。,軽忽,けいこつ,X,X
547,音読み,b,慧敏,けいびん,慧敏さに感心する。,慧敏,けいびん,X,X
548,音読み,b,烹箭,ほうせん,師から烹箭を教わる。,烹箭,ほうせん,X,X
549,音読み,b,銅壺,どうこ,銅壺で湯を沸かす。,銅壺,どうこ,X,X
550,音読み,b,鞠訊,きくじん,容疑者を鞠訊する。,鞠訊,きくじん,X,X
551,音読み,b,名妓,めいぎ,名妓と評判が高い。,名妓,めいぎ,X,X
552,音読み,b,砥柱,しちゅう,中流の砥柱。,砥柱,しちゅう,X,X
553,音読み,b,逼急,ひっきゅう,情勢が逼急している。,逼急,ひっきゅう,X,X
554,音読み,b,鶯語,おうご,春山に鶯語が響く。,鶯語,おうご,X,X
555,訓読み,b,巽,たつみ,巽の方角にきれいな星が点在する。,巽,たつみ,X,X
556,訓読み,b,頗る,すこぶる,父は頗る上機嫌で出迎えてくれた。,頗,すこぶ,X,る
557,訓読み,b,荻,おぎ,荻の根茎が地中を走る。,荻,おぎ,X,X
558,訓読み,b,戚む,いたむ,母の死を戚む。,戚,いた,X,む
559,訓読み,b,誼,よしみ,昔の誼で口ききしてくれた。,誼,よしみ,X,X
560,訓読み,b,韮,にら,韮には独特のにおいがある。,韮,にら,X,X
561,訓読み,b,鴇色,ときいろ,庭先に鴇色の花が咲き乱れる。,鴇色,ときいろ,X,X
562,訓読み,b,店晒,たなざら,解決策がない難題を店晒しにする。,店晒,たなざら,X,X
563,訓読み,b,姦しい,かしま,子どもの姦しい声が聞こえる。,姦,かしま,X,しい
564,訓読み,b,榊,さかき,祭りで榊の枝を使う。,榊,さかき,X,X
565,訓読み,b,梯,はしご,梯を使って屋根の修理をする。,梯,はしご,X,X
566,訓読み,b,八重葎,やえむぐら,八重葎の覆う庭で過ごす。,八重葎,やえむぐら,X,X
567,訓読み,b,矩,のり,論語に「矩をこえず」とある。,矩,のり,X,X
568,訓読み,b,苫屋,とまや,無人の苫屋で一晩雨露を凌ぐ。,苫屋,とまや,X,X
569,訓読み,b,矢鱈,やたら,洋服を矢鱈に買い込んだ。,矢鱈,やたら,X,X
570,訓読み,b,蹄,ひづめ,牡馬の蹄の音が鳴り響く。,蹄,ひづめ,X,X
571,訓読み,b,讃える,たたえる,永年の功労を讃えて表彰する。,讃,たた,X,える
572,訓読み,b,匁,もんめ,六十匁が一両にあたる。,匁,もんめ,X,X
573,訓読み,b,叛く,そむく,上官の命令に叛いて行動する。,叛,そむ,X,く
574,訓読み,b,殆うく,あやうく,殆うく大事故になるところだった。,殆,あや,X,うく
575,訓読み,b,丞ける,たすける,君子の政務を傍で丞ける。,丞,たす,X,ける
576,訓読み,b,竈,かまど,竈で煮炊きをする。,竈,かまど,X,X
577,訓読み,b,而る,しかる,三たび思いて而る後行う。,而,しか,X,る
578,訓読み,b,掠めた,かすめた,母の悲しそうな姿が心を掠めた。,掠,かす,X,めた
579,訓読み,b,俣,また,川の俣にゴミがたまっている。,俣,また,X,X
580,訓読み,b,瑞瑞しい,みずみずしい,瑞瑞しい歌声が心にとまる。,瑞瑞,みずみず,X,しい
581,訓読み,b,乍ち,たちまち,勝利を知り乍ち明るくなった。,乍,たちま,X,ち
582,訓読み,b,簾,すだれ,日よけに簾をおろす。,簾,すだれ,X,X
583,訓読み,b,漉く,すく,木の皮などを原料にして紙を漉く。,漉,す,X,く
584,訓読み,b,亘る,わたる,研究論文は五百ページに亘る。,亘,わた,X,る
585,訓読み,b,鍍金,めっき,鍍金がはげる。,鍍金,めっき,X,X
586,訓読み,b,鍔,つば,息子は鍔のない帽子が好きだ。,鍔,つば,X,X
